Year,Battery Cost ($/MW)
2020,813519.8955606394
2021,739859.8955606394
2022,655039.8955606392
2023,568609.8955606392
2024,484549.8955606394
2025,401109.8955606394
2026,365883.8955606394
2027,331657.8955606394
2028,297914.8955606394
2029,264564.8955606394
2030,231069.8955606394
2031,222074.8955606394
2032,212793.8955606394
2033,203481.8955606393
2034,194086.8955606394
2035,184693.8955606394
2036,175167.8955606396
2037,165597.8955606393
2038,156000.8955606393
2039,146367.8955606394
2040,136724.8955606394
2041,127056.8955606394
2042,117376.8955606396
2043,107673.8955606394
2044,97968.8955606394
2045,88257.8955606394
2046,78537.8955606394
2047,68811.8955606394
2048,59081.8955606394
2049,49339.8955606396
2050,39602.8955606394
