Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,18021841078258.336,16761324058197.197,17220133371419.062,15524021576597.975,16195372750642.674,16648169660382.113,16760486532859.004,16867016552516.05,16967915502668.648,17063562620528.06,17154249970439.752,17239921081930.922,17320442180289.312,17395951661250.605,17466636637102.645,17532641926020.482,17594053839323.168,17650881854024.87,17703106389517.793,17750676066287.176,17793570833790.652,17831836432327.977,17865565204045.38,17894841345556.27,17919769887240.71,17940448810459.97,17956933880784.98,17969300287749.574,17977691283080.18,17982274320134.438,17983184896718.098,17980509245827.766,17974279088048.04,17964509382963.254,17951183839507.734,17934301596134.75
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,293381249288.18677,179717745170.92526,139066189627.29663,90904229778.0654,210909090909.0909,162527695635.93378,161286765161.1752,176007568535.71298,185514704818.3737,194390380452.83926,205119461034.40817,213255595399.50552,217709295763.0111,225477694084.2916,230170614870.3793,234555812795.08002,237401237863.59793,240283595579.80017,245363518920.09238,247340010672.3466,250935301900.30078,251428495661.95923,250852924401.16492,251082953685.03497,253188037692.1383,256032322822.36075,256625486212.77356,258096498009.2792,260367822489.61176,261042279583.81808,266356637185.4777,270807140002.11734,273870967937.39972,275366784848.2933,274942131027.539,284678620029.1296
chemicals 20,5141230769230.77,4861435897435.897,5335179487179.486,5901128205128.206,5910666666666.666,5704000000000.0,5919762009873.343,5703335775707.108,5747402799433.058,5798148564151.776,5898674450428.097,5965299452824.276,6022730534763.483,6088951478552.644,6170391684981.203,6263940876562.679,6358082889779.92,6478976162686.61,6574619882796.869,6685364012877.086,6798735649449.602,6908210011129.842,7010566061580.608,7106435143956.193,7190938987240.798,7267439915494.87,7374790838537.543,7488469660824.127,7599590482286.777,7623350696556.935,7655331498995.156,7790490405642.313,7861005347907.54,7840671550624.911,7888388026630.831,8036344828870.926
rubber and plastic products 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,28796110210696.92,27769205834683.953,27854781199351.7,26314424635332.258,27683630470016.21,27255753646677.47,26926335855628.133,28345015602520.035,28502024650825.324,29081587747535.73,29506437007563.484,29701955891179.68,29795282934388.223,29922409907613.156,30141773168565.176,30564718424324.93,31027059995115.51,31393887230345.16,31745472795781.777,32113756941159.812,32550244138206.156,32868927816125.254,33139067093729.984,33394280750833.176,33641560414443.13,34032501825184.21,34472419313320.652,34814134119789.047,34971513177020.906,35195669209849.93,35432565497957.97,35664406924532.664,35917845695066.19,35943002447813.445,35956875855430.07,36071557424239.375
