Pollutant:,SOx,Unit: grams of SOx,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015,2016,2017,2018,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,0,0,0,0,0,693176300.3830941,726258058.8745285,737469836.2281016,742574958.9671909,747875312.043344,753366201.3207378,757128634.5333967,760664893.717037,763981056.8214302,767085341.2897027,769984107.1270199,772681144.8827019,775176870.7604402,777470424.8352522,779559550.6639863,781443367.6834605,783123884.678433,784605157.0551174,785890882.4909359,786985673.6234912,787893833.5173917,788617811.2389861,789160908.9002047,789529417.7122139,789730691.753459,789770681.7048135,789653174.6758976,789379563.745182,788950505.8953527,788365285.6688248,787623865.2288992
coal mining 05,0,0,0,0,0,976097045.2583457,1033362624.512233,1038694507.0027721,1098808333.3627741,1004691885.497847,1007232966.9081141,1015041069.8880637,992485795.4262747,993681350.6950898,989387136.172243,976396559.4519155,973296307.8253046,962493617.3217587,956228249.48426,927993926.527089,905501945.0302889,890490746.8013091,874432446.6147131,876977020.6634886,871669732.5682154,863863942.4172425,861721823.394185,860359177.2135742,847672939.4628472,842370682.0709429,827472787.0883088,821328446.8288991,812540487.0942322,806830687.0360402,803761518.6887689,809870732.9870926
oil and gas extraction 06,0,0,0,0,0,61418809649.15379,62852906092.71581,65042958318.20045,66085221503.65999,66986604942.50343,67699803366.304924,67657548531.85077,67520740430.96956,68630378512.960785,69111693053.58139,69234677105.20169,69696016890.00458,70195107763.92398,70652019089.09702,70339326499.39519,70083545233.04353,69990002019.81645,70199360113.24516,70600990556.82439,71077158894.7635,71589081803.42165,71815133185.50475,72164385741.2007,72785221399.2126,73372515423.69818,73798087522.19792,74256453132.91556,74774312950.07172,75139230134.37189,75461621571.02863,76152294619.81285
other mining and quarrying 07T08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0,0,0,0,0,693176300.3830941,726258058.8745285,737469836.2281016,742574958.9671909,747875312.043344,753366201.3207378,757128634.5333967,760664893.717037,763981056.8214302,767085341.2897027,769984107.1270199,772681144.8827019,775176870.7604402,777470424.8352522,779559550.6639863,781443367.6834605,783123884.678433,784605157.0551174,785890882.4909359,786985673.6234912,787893833.5173917,788617811.2389861,789160908.9002047,789529417.7122139,789730691.753459,789770681.7048135,789653174.6758976,789379563.745182,788950505.8953527,788365285.6688248,787623865.2288992
textiles apparel and leather 13T15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0,0,0,0,0,23285644433.130413,24194961754.078297,24797975502.505695,24651276775.15015,24732304434.473328,24597782975.877487,24357362381.566776,24125717690.78296,23926238311.495647,23721890562.52115,23500803705.09968,23265114716.292908,23063648155.976315,22827228059.726048,22576677435.74782,22372822073.432777,22169981764.115494,21958712789.676846,21766130786.035107,21602142587.43852,21405300176.971592,21213841608.537518,21062493322.083866,20913710241.266235,20667392030.011814,20482157735.06488,20391152779.880493,20301690095.601467,20250938522.702595,19993218340.02628,19896934844.59112
refined petroleum and coke 19,0,0,0,0,0,51546010110.59326,55290000244.86367,59518799777.80959,62283762967.41332,65325350104.16574,68444399840.153984,69417382690.81897,69183923440.97873,70000092154.0152,69855753298.40306,69635629333.20667,68927778999.88046,68255928166.78229,68218633418.69459,67333203030.63816,66910967960.15556,66484023850.89585,65787358795.64486,65315002352.52134,65337430591.77488,65552058930.42514,65125607749.500694,64927010069.58271,64931016423.28616,64539730959.55462,65292086428.85106,65719381880.64758,65802518963.91278,65508492455.8593,64765361039.13403,66404463120.02038
