Pollutant:,CH4,Unit: grams of CH4,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,11980354096076.809,12040038240844.037,12184673248796.002,12343922450492.223,12296684002857.816,13037525952220.271,13204887976110.137,13372250000000.0,13406805338870.283,13392682766444.13,13395448388156.816,13388192015585.271,13389071374902.453,13390930336779.732,13393089633960.455,13395155160029.402,13396935715719.102,13398297286363.543,13399348289436.756,13400158989644.965,13400770838066.41,13401210986720.543,13401508535530.582,13401695573522.88,13401783792457.697,13401777284965.797,13401691794876.89,13401548194601.98,13401363336882.076,13401144920041.842,13400897278951.188,13400627961581.822,13400343924320.613,13400051773211.518,13399757775663.879,13399464418421.488
coal mining 05,57472627849.48766,57476080900.71416,58431120023.244194,56517104873.18986,51401354028.57933,45555306463.38827,55201048801.75885,56318915216.28721,57160362950.55066,51019757603.976395,50814129039.87897,54541815615.87235,56668047189.428345,60397506518.693344,64000090479.86144,67189651742.11288,67528135973.7938,67292074589.02585,67399097349.81801,65819767795.215645,64658886146.92436,65894523504.821785,66998568953.00344,69662531481.37619,71684821375.31512,73489932847.16476,73705816422.48058,73999041857.16684,73226601438.91273,73148812142.63837,72153630829.40366,73935975483.6014,75448635713.79694,77268356172.63235,79377979108.04623,82536715064.52063
oil and gas extraction 06,142241586297.04886,142586048883.8674,146700032664.1641,148495817130.36935,150267123366.72855,142642641172.471,148064303069.5617,155298593440.06982,159802920364.15594,163938807332.52426,167576555064.91653,171673086349.11777,175492663010.02377,182590459247.23843,188086482147.0986,192617439813.64526,198269380391.58752,204104116060.3779,209891420016.28314,213413792699.25443,217088243111.23843,218618565363.97305,221087567618.92792,224167066909.2365,227494499187.61465,230950179874.99246,233737424866.607,236944269969.3888,241073424541.86,245127682944.17722,248671736655.38663,252745008674.89294,257064166941.9463,260897062664.30505,264615806707.17148,269672696254.59827
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemicals 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rubber and plastic products 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass and glass products 231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement and other nonmetallic minerals 239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
