Unit: dimensionless (% of output purchased),government,domestic industries (MUST contain remainder),labor and consumers,foreign entities
agriculture and forestry 01T03,0.0034122043,0.6096686275,0.2272966806,0.1596224876
coal mining 05,0.0022870381,0.9624569324,0.0,0.0352560295
oil and gas extraction 06,0.0,0.8148449638,0.0,0.1851550362
other mining and quarrying 07T08,0.0,0.2386512973,0.0,0.7613487027
food beverage and tobacco 10T12,0.0059057016,0.2687126393,0.6011909124,0.1241907466
textiles apparel and leather 13T15,0.0031589757,0.2441936612,0.7158633417,0.0367840213
wood products 16,0.001601864,0.6820195968,0.0483887745,0.2679897647
pulp paper and printing 17T18,0.0228301014,0.8113612106,0.1273177228,0.0384909652
refined petroleum and coke 19,0.0079853167,0.6550430852,0.2872103405,0.0497612576
chemicals 20,0.0015184992,0.7577392934,0.1783635713,0.0623786361
rubber and plastic products 22,0.0014082329,0.8315411603,0.1174612736,0.0495893332
glass and glass products 231,0.005089922,0.8837558776,0.0466333802,0.0645208202
cement and other nonmetallic minerals 239,0.002294374,0.996683762,0.0,0.001021864
iron and steel 241,0.0012469761,0.8006916561,0.0019868486,0.1960745193
other metals 242,0.0002568796,0.7479369361,0.0062935491,0.2455126353
metal products except machinery and vehicles 25,0.0093611997,0.8206191732,0.1287874141,0.041232213
computers and electronics 26,0.003473596,0.6109572429,0.3674098586,0.0181593024
appliances and electrical equipment 27,0.001064755,0.6283192314,0.3139889298,0.0566270838
other machinery 28,0.000467635,0.8778116553,0.025144733,0.0965759767
road vehicles 29,0.0031636433,0.5600907141,0.3580790121,0.0786666305
nonroad vehicles 30,0.0079437825,0.451502973,0.4551035277,0.0854497168
other manufacturing 31T33,0.0142159416,0.9465283545,0.0019564514,0.0372992526
energy pipelines and gas processing 352T353,0.0234531799,0.6618201302,0.3113982908,0.003328399
water and waste 36T39,0.1644434182,0.446917352,0.3882839837,0.0003552461
construction 41T43,0.0189912181,0.9763051841,0.0,0.0047035978
