MW*hour,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
natural gas nonpeaker,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
nuclear,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
hydro,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
onshore wind,2080,2400,2800.0,3200,3600,4000,4400,4800,5200,5600.0,6000,6400,7600,8800,10000.0,11200,12400,13600,14800,16000.0,17200.0,18400,20080.0,21760,23440.0,25120,26800.0,28480,30160,31840,33520.0,35200
solar PV,532800,640000,768000.0000000001,896000,1024000,1152000,1280000,1459200,1638400,1817600.0000000005,1996800,2176000,2480800,2785600,3090400.0000000005,3395200,3700000,4004800,4309600,4614400.000000001,4919200.000000001,5224000,5401600.000000001,5579200,5756800.000000001,5934400,6112000.000000001,6352000,6592000,6832000,7072000.0,7312000
solar thermal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
biomass,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
geothermal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
petroleum,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
natural gas peaker,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
lignite,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
offshore wind,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
crude oil,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
heavy or residual fuel oil,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
municipal solid waste,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
