MW*hour,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
natural gas nonpeaker,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
nuclear,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
hydro,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
onshore wind,520,600,700.0,800,900,1000,1100,1200,1300,1400.0,1500,1600,1900,2200,2500.0,2800,3100,3400,3700,4000.0,4300.0,4600,5020.0,5440,5860.0,6280,6700.0,7120,7540,7960,8380.0,8800
solar PV,133200,160000,192000.0,224000,256000,288000,320000,364800,409600,454400.0000000001,499200,544000,620200,696400,772600.0000000001,848800,925000,1001200,1077400,1153600.0000000002,1229800.0000000002,1306000,1350400.0000000002,1394800,1439200.0000000002,1483600,1528000.0000000002,1588000,1648000,1708000,1768000.0,1828000
solar thermal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
biomass,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
geothermal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
petroleum,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
natural gas peaker,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
lignite,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
offshore wind,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
crude oil,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
heavy or residual fuel oil,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
municipal solid waste,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0
